id,production_countries
1,US
2,CN
3,CZ
4,DE
5,CA
6,GB
7,ID
8,PL
9,
10,IN
11,SU
12,JP
13,NO
14,NG
15,BR
16,PH
17,RU
18,IT
19,TW
20,EE
21,ES
22,KR
23,FR
24,FI
25,ZA
26,MX
27,LI
28,RS
29,NL
30,DK
31,IS
32,CO
33,TR
34,EC
35,BE
36,CH
37,KE
38,EG
39,MC
40,AU
41,SE
42,DO
43,HN
44,IE
45,HK
46,NZ
47,AT
48,VN
49,GR
50,PS
51,HU
52,AR
53,TH
54,AF
55,KW
56,LB
57,IR
58,CL
59,IL
60,PR
61,TN
62,AE
63,MY
64,RO
65,CM
66,SY
67,PA
68,QA
69,SA
70,JO
71,UY
72,TZ
73,CU
74,PE
75,FO
76,MA
77,OM
78,UA
79,GE
80,BD
81,JM
82,BY
83,YU
84,XC
85,LU
86,PT
87,VE
88,GH
89,CD
90,DZ
91,BG
92,GT
93,SK
94,CF
95,SG
96,SN
97,SO
98,RW
99,LT
100,KZ
101,BO
102,ET
103,BF
104,SB
105,GD
106,MT
107,SZ
108,PK
109,TT
110,IQ
111,GL
112,MN
113,PY
114,AN
115,CR
116,LV
117,KH
118,BA
119,BM
120,NI
121,XK
122,TC
123,NP
124,AZ
125,SV
126,VA
127,SI
128,HR
129,BS
130,AL
131,VU
132,AQ
133,FM
134,ZW
135,MK
136,MW
137,CI
138,UG
139,UZ
140,CY
141,KG
142,PF
143,FJ
144,KI
145,BT
146,BW
147,MU
148,NA
149,AO
150,LK
151,IO
152,NC
153,KN
154,ZM
